text-small,f-m-20,f-m-20 2,d-iblock,d-iblock 2,d-iblock 3,d-iblock 4,d-iblock 5,
"09 Okt 2025
					16:03:36",Laporan Bulanan Aktivitas Eksplorasi [],ADRO,,,,,,ADRO melaporkan bahwa aktivitas eksplorasi oleh PT Maruwai Coal berupa pengeboran open hole dan coring di area East Maruwai dengan total biaya dikeluarkan sebesar 5.201.426
"14 Okt 2025
					21:19:52",Penjelasan atas Pemberitaan Media Massa [],ADRO,,,,,,"ADRO menyampaikan penjelasan kepada PT Bursa Efek Indonesia terkait pemberitaan media massa mengenai dugaan penjualan BBM solar di bawah harga pasar, dengan menyatakan bahwa transaksi dilakukan anak usaha melalui tender kompetitif berpatokan MOPS serta menegaskan tidak ada dampak terhadap operasional, hukum, maupun kinerja keuangan perseroan"
"17 Okt 2025
					22:27:59",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],ADRO,20251017_ADRO_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31968069_lamp1.pdf,,,,,"ADRO melaporkan perubahan kepemilikan saham oleh PT Alamtri Resources Indonesia Tbk yang membeli sejumlah 0,565% saham ADMR untuk investasi tambahan"
"31 Okt 2025
					16:28:15",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ADRO,FinancialStatement-2025-III-ADRO.xlsx,FS AlamTri 0925.pdf,inlineXBRL.zip,instance.zip,,"Laporan keuangan ADRO yang tidak diaudit menunjukkan kinerja keuangan yang baik dengan perolehan laba bersih mencapai 5,03 triliun. Sepanjang periode sembilan bulan tersebut, pendapatan usaha perseroan tercatat sebesar 22,49 triliun, sementara total aset ADRO mencapai 110,01 triliun"
"09 Okt 2025
					19:40:39",Laporan Bulanan Registrasi Pemegang Efek [],AKRA,20251009_AKRA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31966455_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek AKRA menunjukkan peningkatan pemegang saham sebanyak 444 pemegang
"23 Okt 2025
					10:17:50",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AKRA,FinancialStatement-2025-III-AKRA.xlsx,inlineXBRL.zip,instance.zip,PT AKR Corporindo Tbk. 30 September 2025_release.pdf,surat akra no.076.L.AKR.CS.2025.pdf,"Laporan keuangan AKRA yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 1,84 triliun. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 32,39 triliun. Selain itu, total aset AKRA tumbuh dan mencapai 33,72 triliun pada akhir periode tersebut"
"27 Okt 2025
					17:23:50",Penurunan Modal PT Jakarta Tank Terminal [],AKRA,20251027_AKRA_Laporan Informasi dan Fakta Material_31979925_lamp1.pdf,,,,,"AKRA melaporkan fakta material terkait penandatanganan akta penurunan modal ditempatkan dan disetor oleh anak perusahaannya, PT Jakarta Tank Terminal"
"28 Okt 2025
					13:36:32",Peningkatan Modal PT Anugerah Krida Retailindo [],AKRA,20251028_AKRA_Laporan Informasi dan Fakta Material_31980061_lamp1.pdf,,,,,"AKRA melaporkan fakta material terkait penandatanganan akta peningkatan modal ditempatkan dan disetor oleh anak perusahaannya, PT Anugerah Krida Retailindo"
"02 Okt 2025
					16:41:42",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,20251002_AMMN_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31953894_lamp1.pdf,,,,,"AMMN melaporkan perubahan kepemilikan saham oleh komisaris yang menjual sejumlah 0,014% saham untuk investasi pribadi"
"03 Okt 2025
					21:31:57",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],AMMN,20251003_AMMN_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31954189_lamp1.pdf,,,,,"AMMN melaporkan perubahan kepemilikan saham oleh komisaris yang menjual sejumlah 0,062% saham untuk investasi pribadi"
"10 Okt 2025
					16:01:42",Laporan Bulanan Registrasi Pemegang Efek [],AMMN,20251008_AMMN_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965863_lamp1.pdf,20251008_AMMN_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965863_lamp2.pdf,,,,"Laporan Bulanan Registrasi Pemegang Efek AMMN menunjukkan penurunan porsi saham scripless dari 18,759% menjadi 18,507% serta penurunan porsi free float dari 18,76% menjadi 18,51%"
"10 Okt 2025
					16:24:12",Laporan Bulanan Aktivitas Eksplorasi [],AMMN,20251010_AMMN_Laporan Bulanan Aktivitas Eksplorasi_31966635_lamp1.pdf,20251010_AMMN_Laporan Bulanan Aktivitas Eksplorasi_31966635_lamp2.pdf,,,,"AMMN melaporkan bahwa aktivitas eksplorasi oleh PT Amman Mineral Nusa Tenggara berupa pengeboran inti sumber daya, pengeboran eksplorasi, pengeboran sterilisasi, pemetaan geologi, pengambilan sampel geokimia, serta pemetaan alterasi di Blok II Elang dengan biaya 2.339.305,83, serta pengambilan data survei IP dan pemetaan geologi di Blok III Rinti dengan biaya 351.862,43"
"20 Okt 2025
					16:30:23",Penjelasan atas Pemberitaan Media Massa [],AMMN,20251020_AMMN_Tanggapan atas Permintaan Penjelasan Bursa_31978464_lamp1.pdf,,,,,"AMMN menyampaikan penjelasan kepada PT Bursa Efek Indonesia terkait pemberitaan media massa mengenai transaksi saham bernilai besar, dengan menyatakan belum dapat mengonfirmasi kebenarannya hingga menerima salinan Daftar Pemegang Saham resmi namun memastikan tidak ada anggota direksi atau komisaris yang melakukan transaksi saham tersebut"
"22 Okt 2025
					15:09:52",Penjelasan atas Pemberitaan Media Massa (KOREKSI) [],AMMN,20251022_AMMN_Tanggapan atas Permintaan Penjelasan Bursa_31978996_lamp1.pdf,,,,,"AMMN menyampaikan koreksi klarifikasi kepada PT Bursa Efek Indonesia terkait pemberitaan media massa mengenai transaksi saham jumbo, dengan menginformasikan adanya pengalihan 0,097% saham oleh beberapa pemegang saham di bawah 5% serta menegaskan tidak ada keterlibatan direksi maupun komisaris dalam transaksi tersebut"
"27 Okt 2025
					16:17:49",Penjelasan atas Pemberitaan Media Massa [],AMMN,20251027_AMMN_Tanggapan atas Permintaan Penjelasan Bursa_31979830_lamp1.pdf,,,,,"AMMN menyampaikan klarifikasi kepada PT Bursa Efek Indonesia membenarkan pemberitaan media massa mengenai izin ekspor konsentrat entitas anak perseroan, PT Amman Mineral Nusa Tenggara, yang hingga saat ini belum diterbitkan oleh Menteri Perdagangan Republik Indonesia"
"30 Okt 2025
					11:57:33",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AMMN,AMMN - Penyampaian Laporan Keuangan Q325.pdf,FinancialStatement-2025-III-AMMN.xlsx,FS PT AMMN Tbk - 30 September 2025.pdf,inlineXBRL.zip,instance.zip,"Laporan keuangan AMMN yang tidak diaudit menunjukkan kinerja keuangan yang tertekan dengan mencatatkan rugi bersih sebesar 2,82 triliun. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 8,62 triliun, sementara total aset AMMN mencapai 202,60 triliun"
"30 Okt 2025
					12:10:53",Hasil Kinerja 9M 2025 AMMAN [],AMMN,20251030_AMMN_Laporan Informasi dan Fakta Material_31980692_lamp1.pdf,20251030_AMMN_Laporan Informasi dan Fakta Material_31980692_lamp2.pdf,,,,AMMN melaporkan fakta material terkait penyampaian siaran pers mengenai hasil kinerja keuangan perseroan untuk periode sembilan bulan tahun 
"06 Okt 2025
					15:42:35",Laporan Kepemilikan Saham [],AMRT,20251006_AMRT_Pengumuman Bursa_31964671_lamp1.pdf,,,,,"AMRT menyampaikan laporan perubahan kepemilikan saham oleh Morgan Stanley & Co. International plc yang melakukan pembelian 109.800 saham dan penjualan 43.234.308 saham untuk tujuan investasi sehingga kepemilikan sahamnya menjadi 8,9048%"
"07 Okt 2025
					09:56:10",Laporan Bulanan Registrasi Pemegang Efek [],AMRT,,,,,,"Laporan Bulanan Registrasi Pemegang Efek AMRT menunjukkan penurunan porsi free float dari 42,5% menjadi 42,41%"
"31 Okt 2025
					16:25:25",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],AMRT,022_OJK_Penyampaian Laporan Keuangan Q3 2025.pdf,AMRT LK Q3 2025.pdf,FinancialStatement-2025-III-AMRT.xlsx,inlineXBRL.zip,instance.zip,"Laporan keuangan AMRT yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 2.420,88 miliar. Selama periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 94.475,92 miliar. Selain itu, total aset AMRT tumbuh dan mencapai 40.020,78 miliar pada akhir periode tersebut"
"01 Okt 2025
					05:40:57",Transaksi Afiliasi [],ANTM,20251001_ANTM_Informasi Transaksi Afiliasi_31953443_lamp1.pdf,,,,,"ANTM melaporkan transaksi afiliasi dengan entitas afiliasi minoritasnya, PT Feni Haltim, senilai 159.642.000"
"03 Okt 2025
					16:29:01",Perubahan Corporate Secretary [],ANTM,20251003_ANTM_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31954321_lamp1.pdf,,,,,ANTM melaporkan perubahan corporate secretary yang efektif pada tanggal pemberitahuan
"07 Okt 2025
					20:34:47",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],ANTM,20251007_ANTM_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31965557_lamp2.pdf,20251007_ANTM_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31965557_lamp1.pdf,,,,"ANTM melaporkan perubahan kepemilikan saham oleh direksi yang membeli sejumlah 0,0000012% saham untuk trading/pembelian"
"08 Okt 2025
					09:28:43",Laporan Bulanan Registrasi Pemegang Efek [],ANTM,20251008_ANTM_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965617_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek ANTM menunjukkan peningkatan pemegang saham sebanyak 983 pemegang
"10 Okt 2025
					15:53:36",Laporan Bulanan Aktivitas Eksplorasi [],ANTM,20251010_ANTM_Laporan Bulanan Aktivitas Eksplorasi_31966768_lamp1.pdf,20251010_ANTM_Laporan Bulanan Aktivitas Eksplorasi_31966768_lamp2.pdf,,,,ANTM melaporkan bahwa aktivitas eksplorasi oleh PT Aneka Tambang Tbk mencakup area terlampir dengan rincian hasil dan metode pengujian terlampir serta mengeluarkan biaya sebesar 176.946.064.278
"14 Okt 2025
					18:36:20",Penjelasan atas Pemberitaan Media Massa [],ANTM,20251014_ANTM_Tanggapan atas Permintaan Penjelasan Bursa_31967452_lamp2.pdf,20251014_ANTM_Tanggapan atas Permintaan Penjelasan Bursa_31967452_lamp1.pdf,,,,"ANTM menyampaikan surat tanggapan kepada PT Bursa Efek Indonesia terkait permintaan klarifikasi atas pemberitaan media massa mengenai penjualan solar di bawah harga pasar, dengan melampirkan dokumen penjelasan resmi dari perseroan"
"20 Okt 2025
					20:12:34",Penyampaian Materi pada Acara Indonesia Day [],ANTM,20251020_ANTM_Laporan Informasi dan Fakta Material_31978574_lamp1.pdf,20251020_ANTM_Laporan Informasi dan Fakta Material_31978574_lamp2.pdf,,,,ANTM melaporkan fakta material terkait penyampaian materi presentasi investor dalam acara Indonesia Day 
"21 Okt 2025
					18:59:16",Penjelasan atas Pemberitaan Media Massa [],ANTM,20251021_ANTM_Tanggapan atas Permintaan Penjelasan Bursa_31978847_lamp2.pdf,20251021_ANTM_Tanggapan atas Permintaan Penjelasan Bursa_31978847_lamp1.pdf,,,,"ANTM menyampaikan surat penjelasan kepada PT Bursa Efek Indonesia terkait permintaan klarifikasi atas pemberitaan media massa mengenai pemanggilan mantan direksi dan pejabat perseroan oleh KPK dalam kasus dugaan korupsi pengolahan anoda logam dengan tersangka korporasi PT Loco Montrado, dengan melampirkan dokumen penjelasan resmi dari perseroan"
"27 Okt 2025
					21:33:48",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ANTM,5101 - OJK - Penyampaian Laporan Keuangan 3Q25.pdf,5102 - IDX- Penyampaian Laporan Keuangan 3Q25.pdf,ANTAM FINAL FS Q3 2025.pdf,FinancialStatement-2025-III-ANTM.xlsx,inlineXBRL.zip,"Laporan keuangan ANTM yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai Rp6,61 triliun. Sepanjang periode sembilan bulan tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar Rp72,03 triliun. Selain itu, total aset Aneka Tambang Tbk. tumbuh dan mencapai Rp48,07 triliun "
"27 Okt 2025
					21:39:46",Laba ANTAM Melonjak Signifikan 197% Pada Sembilan Bulan Pertama Tahun Ini [],ANTM,20251027_ANTM_Laporan Informasi dan Fakta Material_31979970_lamp1.pdf,20251027_ANTM_Laporan Informasi dan Fakta Material_31979970_lamp2.pdf,,,,ANTM melaporkan fakta material terkait penyampaian siaran pers mengenai lonjakan laba perseroan yang signifikan sebesar 197% pada sembilan bulan pertama 
"27 Okt 2025
					21:47:15",Penyampaian Laporan Kuartalan Periode Triwulan III Tahun Ini [],ANTM,20251027_ANTM_Laporan Informasi dan Fakta Material_31979972_lamp1.pdf,20251027_ANTM_Laporan Informasi dan Fakta Material_31979972_lamp2.pdf,,,,ANTM melaporkan fakta material terkait penyampaian Laporan Kuartalan perseroan untuk periode triwulan III tahun 
"28 Okt 2025
					16:32:28",ANTAM dan PT Gag Nikel Raih Penghargaan di Subroto Award [],ANTM,20251028_ANTM_Laporan Informasi dan Fakta Material_31980182_lamp2.pdf,20251028_ANTM_Laporan Informasi dan Fakta Material_31980182_lamp1.pdf,,,,"ANTM melaporkan fakta material terkait penyampaian siaran pers mengenai raihan penghargaan Subroto Award oleh perseroan dan anak perusahaannya, PT Gag Nikel"
"30 Okt 2025
					16:31:54",ANTAM - BRIN Tandatangani Nota Kesepahaman untuk Tingkatkan Kualitas Sumber Daya Alam [],ANTM,20251030_ANTM_Laporan Informasi dan Fakta Material_31980871_lamp1.pdf,20251030_ANTM_Laporan Informasi dan Fakta Material_31980871_lamp2.pdf,,,,ANTM melaporkan fakta material terkait penyampaian siaran pers mengenai penandatanganan Nota Kesepahaman antara perseroan dengan Badan Riset dan Inovasi Nasional untuk meningkatkan kualitas sumber daya alam
"09 Okt 2025
					09:59:26",Laporan Bulanan Registrasi Pemegang Efek [],ARTO,20251008_ARTO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965829_lamp1.pdf,20251008_ARTO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965829_lamp2.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek ARTO menunjukkan penurunan pemegang saham sebanyak 331 pemegang
"29 Okt 2025
					15:33:51",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ARTO,Bapepam Checklist 30 September 2025_signed.pdf,FINAL_Dirstat 300925.pdf,FINAL_LKFS_PT Bank Jago Tbk_300925 (combined).pdf,FinancialStatement-2025-III-ARTO.xlsx,inlineXBRL.zip,"Laporan keuangan ARTO yang tidak diaudit menunjukkan kinerja keuangan yang tumbuh positif dengan perolehan laba bersih mencapai Rp199,13 miliar pada sembilan bulan pertama tahun tersebut. Sepanjang periode tersebut, pendapatan bunga perseroan tercatat sebesar Rp2,47 triliun, sementara total asetnya mencapai Rp34,50 triliun pada akhir periode tersebut"
"29 Okt 2025
					15:39:49",Siaran Pers [],ARTO,20251029_ARTO_Laporan Informasi dan Fakta Material_31980503_lamp3.pdf,20251029_ARTO_Laporan Informasi dan Fakta Material_31980503_lamp1.pdf,20251029_ARTO_Laporan Informasi dan Fakta Material_31980503_lamp2.pdf,,,ARTO melaporkan fakta material terkait penyampaian siaran pers mengenai keberhasilan perseroan dalam mempertahankan laju pertumbuhan kinerja hingga kuartal III
"30 Okt 2025
					09:20:52",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],ARTO,20251029_ARTO_Penyampaian Bukti Iklan_31980517_lamp2.pdf,20251029_ARTO_Penyampaian Bukti Iklan_31980517_lamp1.pdf,,,,ARTO menyampaikan penyampaian bukti iklan atas Informasi Laporan Keuangan Interim perseroan yang dipublikasikan melalui situs web resmi perusahaan
"01 Okt 2025
					08:21:21","Penyelesaian Transaksi Pembelian 83,67% Saham PT Mega Manunggal Property Tbk oleh PT Saka Industrial Arjaya []",ASII,20251001_ASII_Laporan Informasi dan Fakta Material_31953444_lamp1.pdf,,,,,"ASII melaporkan fakta material terkait penyelesaian transaksi pembelian 83,67% saham PT Mega Manunggal Property Tbk oleh anak perusahaannya, PT Saka Industrial Arjaya"
"03 Okt 2025
					17:09:40",Jadwal Dividen Tunai Interim [],ASII,20251003_ASII_Jadwal Aksi Korporasi (Khusus Penyampaian Dividen Interim)_31954126_lamp1.pdf,,,,,ASII melaporkan rencana pembagian dividen tunai interim 
"03 Okt 2025
					17:10:29",Pembagian dividen interim [],ASII,20251003_ASII_Laporan Informasi dan Fakta Material_31954256_lamp1.pdf,,,,,ASII melaporkan fakta material terkait rencana pembagian dividen interim perseroan 
"08 Okt 2025
					16:33:26",Laporan Bulanan Registrasi Pemegang Efek [],ASII,20251003_ASII_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31954150_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek ASII menunjukkan penurunan pemegang saham sebanyak 10.211 pemegang
"13 Okt 2025
					18:56:11",Pemberitahuan Rencana Rapat Umum Pemegang Saham Luar Biasa [],ASII,20251013_ASII_Pengumuman RUPS_31966979_lamp1.pdf,20251013_ASII_Pengumuman RUPS_31966979_lamp2.pdf,,,,ASII menginformasikan rencana RUPSLB (Rapat Umum Pemegang Saham Luar Biasa) yang akan dilaksanakan pada bulan depan
"13 Okt 2025
					19:12:17",Pengunduran Diri Anggota Dewan Komisaris dan Direksi Perseroan [],ASII,20251013_ASII_Laporan Informasi dan Fakta Material_31967137_lamp1.pdf,,,,,ASII melaporkan fakta material terkait penerimaan surat pengunduran diri dari dua anggota Dewan Komisaris dan satu anggota Direksi perseroan
"28 Okt 2025
					16:39:24",Pemanggilan Rapat Umum Pemegang Saham Luar Biasa [],ASII,20251028_ASII_Pemanggilan RUPS_31980132_lamp3.pdf,20251028_ASII_Pemanggilan RUPS_31980132_lamp1.pdf,20251028_ASII_Pemanggilan RUPS_31980132_lamp2.pdf,,,ASII menyampaikan pemanggilan Rapat Umum Pemegang Saham Luar Biasa dengan agenda perubahan susunan anggota Dewan Komisaris dan Direksi perseroan
"31 Okt 2025
					16:02:04",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ASII,Astra Account September 2025.pdf,FinancialStatement-2025-III-ASII.xlsx,inlineXBRL.zip,instance.zip,LACC- 245 - Report to OJK 0925.pdf,"Laporan keuangan ASII yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 24,47 triliun. Sepanjang periode sembilan bulan tersebut, pendapatan perseroan tercatat sebesar 243,61 triliun. Selain itu, total aset Astra International Tbk tumbuh dan mencapai 505,44 triliun"
"31 Okt 2025
					17:23:07",Penyampaian Laporan Keuangan [],ASII,20251031_ASII_Laporan Informasi dan Fakta Material_31981265_lamp2.pdf,20251031_ASII_Laporan Informasi dan Fakta Material_31981265_lamp1.pdf,20251031_ASII_Laporan Informasi dan Fakta Material_31981265_lamp3.pdf,,,ASII menyampaikan laporan keuangan konsolidasian tidak diaudit untuk periode kuartal III 
"31 Okt 2025
					17:40:46",Rencana Pembelian Kembali Saham dalam Kondisi Pasar Yang Berfluktuasi Secara Signifikan  [],ASII,20251031_ASII_Laporan Informasi dan Fakta Material_31981228_lamp1.pdf,20251031_ASII_Laporan Informasi dan Fakta Material_31981228_lamp2.pdf,,,,ASII melaporkan fakta material terkait rencana pembelian kembali saham perseroan dalam kondisi pasar yang berfluktuasi secara signifikan
"03 Okt 2025
					16:13:27",Laporan Bulanan Registrasi Pemegang Efek [],BBCA,,,,,,Laporan Bulanan Registrasi Pemegang Efek BBCA menunjukkan kenaikan jumlah pemegang saham sebanyak 89.259 pemegang
"06 Okt 2025
					16:59:51",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BBCA,20251006_BBCA_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31964775_lamp1.pdf,,,,,"BBCA melaporkan perubahan kepemilikan saham oleh direksi yang membeli sejumlah 0,003% saham untuk investasi"
"20 Okt 2025
					16:21:17",Rencana Pembelian Kembali Saham dalam Kondisi Pasar yang Berfluktuasi secara Signifikan [],BBCA,20251020_BBCA_Laporan Informasi dan Fakta Material_31978494_lamp2.pdf,20251020_BBCA_Laporan Informasi dan Fakta Material_31978494_lamp1.pdf,,,,BBCA melaporkan fakta material terkait rencana pembelian kembali saham perseroan dalam kondisi pasar yang berfluktuasi secara signifikan
"20 Okt 2025
					16:36:02",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],BBCA,FinancialStatement-2025-III-BBCA.xlsx,inlineXBRL.zip,,,,"Laporan keuangan BBCA yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai Rp43,41 triliun. Sepanjang periode tersebut, pendapatan bunga perseroan tercatat sebesar Rp73,99 triliun. Selain itu, total aset BCA tumbuh dan mencapai Rp1.538,50 triliun pada akhir periode tersebut"
"20 Okt 2025
					18:19:35",Penyampaian Materi pada Acara Indonesia Day [],BBCA,20251020_BBCA_Laporan Informasi dan Fakta Material_31978562_lamp2.pdf,20251020_BBCA_Laporan Informasi dan Fakta Material_31978562_lamp1.pdf,,,,BBCA melaporkan fakta material terkait penyampaian materi presentasi perseroan pada acara Indonesia Day yang diselenggarakan di Singapura
"20 Okt 2025
					18:24:52","Penyampaian Press Release terkait Informasi Ringkasan Kinerja Keuangan Kuartal III (unaudited) PT Bank Central Asia Tbk (""Perseroan"") []",BBCA,20251020_BBCA_Laporan Informasi dan Fakta Material_31978564_lamp2.pdf,20251020_BBCA_Laporan Informasi dan Fakta Material_31978564_lamp1.pdf,,,,BBCA melaporkan fakta material terkait penyampaian siaran pers mengenai ringkasan kinerja keuangan tidak diaudit perseroan untuk kuartal III 
"21 Okt 2025
					16:23:09",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BBCA,20251021_BBCA_Penyampaian Bukti Iklan_31978624_lamp2.pdf,20251021_BBCA_Penyampaian Bukti Iklan_31978624_lamp1.pdf,,,,BBCA menyampaikan penyampaian bukti iklan atas Informasi Laporan Keuangan Interim perseroan untuk posisi kuartal III yang dipublikasikan melalui situs web resmi perusahaan dan Bursa Efek Indonesia
