text-small,f-m-20,f-m-20 2,
"31 Des 2025
					07:01:44",LAPORAN KEPEMILIKAN ATAU SETIAP PERUBAHAN KEPEMILIKAN SAHAM PERUSAHAAN TERBUKA [],AMMN,"Laporan kepemilikan saham oleh anggota Dewan Komisaris AMMN menunjukkan penjualan 67.645.100 saham, sehingga kepemilikan berubah dari 253.422.860 saham (0,349%) menjadi 185.777.760 saham (0,256%) untuk restrukturisasi waris."
"05 Des 2025
					16:33:09",RENCANA PEMBELIAN KEMBALI SAHAM DALAM KONDISI PASAR YANG BERFLUKTUASI SECARA SIGNIFIKAN [],AMRT,"AMRT menyampaikan rencana pembelian kembali saham dalam kondisi pasar yang berfluktuasi signifikan, sebagai upaya mendukung stabilitas pasar modal dan meningkatkan nilai pemegang saham."
"05 Des 2025
					16:47:07",Penyampaian Bukti Iklan Iklan Rencana Pembelian Kembali Saham Dalam Kondisi Pasar Yang Berfluktuasi Secara Signifikan [],AMRT,AMRT menyampaikan bukti iklan rencana pembelian kembali saham dalam kondisi pasar fluktuatif yang dimuat di website Perseroan dan IDX
"05 Des 2025
					17:10:21",Laporan Bulanan Registrasi Pemegang Efek [],AMRT,"Laporan Bulanan Registrasi Pemegang Efek AMRT menunjukkan kenaikan pemegang saham sebanyak 12.962 pemegang (dari 28.206 menjadi 41.168) dengan free float 42,29%."
"01 Des 2025
					19:20:03","Tingkatkan Praktik ESG, ANTAM Raih Gold Rank pada ASRRAT []",ANTM,ANTM menyampaikan informasi material terkait perolehan Gold Rank pada ASRRAT sebagai pengakuan atas peningkatan praktik ESG.
"02 Des 2025
					20:48:07",Perubahan Komite Audit [],ANTM,ANTM mengumumkan perubahan Komite Audit dengan pergantian salah satu anggota.
"04 Des 2025
					17:06:24","Perkuat Program Employee Well-Being, ANTAM Resmikan Fasilitas Daycare []",ANTM,ANTM menyampaikan informasi material terkait peresmian fasilitas daycare untuk memperkuat program kesejahteraan karyawan.
"09 Des 2025
					14:30:54",Laporan Bulanan Registrasi Pemegang Efek [],ANTM,"Laporan Bulanan Registrasi Pemegang Efek ANTM menunjukkan kenaikan pemegang saham sebanyak 20.953 pemegang (dari 215.941 menjadi 236.894) dengan free float 34,84%."
"16 Des 2025
					17:53:56",ANTAM Menyelenggarakan RUPS Luar Biasa [],ANTM,"PT Aneka Tambang Tbk (ANTM) menyelenggarakan RUPS Luar Biasa Tahun yang menyetujui perubahan Anggaran Dasar, pelimpahan wewenang kepada Dewan Komisaris untuk menyetujui RKAP dan RJPP, serta perubahan susunan pengurus Perusahaan."
"16 Des 2025
					23:50:05",Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],ANTM,"RUPS Luar Biasa ANTM menyetujui perubahan Anggaran Dasar, pelimpahan wewenang kepada Dewan Komisaris untuk menyetujui RKAP dan RJPP, serta perubahan susunan Direksi dan Dewan Komisaris."
"18 Des 2025
					18:10:39","ANTAM Bergerak Cepat Salurkan Bantuan dan Tim Tanggap Darurat untuk Bencana di Aceh, Sumatra Utara, dan Sumatra Barat []",ANTM,"ANTM menyampaikan informasi material terkait penyaluran bantuan dan tim tanggap darurat untuk bencana di Aceh, Sumatra Utara, dan Sumatra Barat."
"18 Des 2025
					19:23:33",Penyampaian Bukti Iklan Hasil RUPS [],ANTM,"ANTM menyampaikan bukti iklan publikasi ringkasan risalah RUPS Luar Biasa yang dimuat di website Perseroan, IDX, eASY.KSEI, dan ASX."
"22 Des 2025
					22:54:25",Perubahan anggota Direksi dan/atau anggota Dewan Komisaris [],ANTM,"PT Aneka Tambang Tbk menyampaikan informasi material terkait berakhirnya masa jabatan anggota Komisaris sehubungan dengan pengangkatannya sebagai Wakil Komisaris Utama di BUMN lain, dengan dampak yang tidak material terhadap operasi, keuangan, dan kelangsungan usaha Perseroan."
"29 Des 2025
					18:39:16",LAPORAN KEPEMILIKAN ATAU SETIAP PERUBAHAN KEPEMILIKAN SAHAM PERUSAHAAN TERBUKA [],ANTM,Laporan kepemilikan saham oleh anggota Direksi ANTM menunjukkan penjualan 3.500 saham sehingga kepemilikan menjadi 0%.
"08 Des 2025
					15:01:35",Laporan Bulanan Registrasi Pemegang Efek [],ARTO,"Laporan Bulanan Registrasi Pemegang Efek ARTO menunjukkan kenaikan pemegang saham sebanyak 4.340 pemegang (dari 32.307 menjadi 36.647) dengan free float 26,93%."
"08 Des 2025
					19:06:35",Laporan Bulanan Registrasi Pemegang Efek [],ASII,"Laporan Bulanan Registrasi Pemegang Efek ASII menunjukkan penurunan pemegang saham sebanyak 3.426 pemegang (dari 102.435 menjadi 99.009) dengan free float 44,97%."
"05 Des 2025
					18:06:01",Laporan Bulanan Registrasi Pemegang Efek [],BBCA,"Laporan Bulanan Registrasi Pemegang Efek BBCA menunjukkan penurunan pemegang saham sebanyak 16.061 pemegang (dari 585.943 menjadi 569.882) dengan free float 42,87%."
"18 Des 2025
					18:57:42",Pembelian saham PT Penyelesaian Transaksi Elektronik Nasional  [],BBCA,"BBCA menyampaikan informasi material terkait pembelian saham PT Penyelesaian Transaksi Elektronik Nasional, yang tidak berdampak material terhadap operasional, hukum, kondisi keuangan, dan kelangsungan usaha Perseroan."
"01 Des 2025
					20:04:10",Informasi atau Fakta Material lainnya: Laporan Tanggal Efektif Pengangkatan Anggota Direksi PT Bank Negara Indonesia (Persero) Tbk [],BBNI,"BBNI menyampaikan informasi material terkait tanggal efektif pengangkatan anggota Direksi, dengan dampak yang tidak material terhadap operasional, hukum, kondisi keuangan, maupun kelangsungan usaha Perseroan."
"09 Des 2025
					18:44:16",Laporan Bulanan Registrasi Pemegang Efek [],BBNI,"Laporan Bulanan Registrasi Pemegang Efek BBNI menunjukkan penurunan pemegang saham sebanyak 3.438 pemegang (dari 179.205 menjadi 175.767) dengan free float 39,3%."
"15 Des 2025
					14:56:46",Perubahan Mata Acara RUPS Luar Biasa PT Bank Negara Indonesia (Persero) Tbk [],BBNI,BBNI menyampaikan perubahan mata acara RUPS Luar Biasa.
"16 Des 2025
					22:35:09",Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],BBNI,"BBNI menyelenggarakan RUPS Luar Biasa yang menyetujui perubahan Anggaran Dasar, pelimpahan wewenang RKAP, pengkinian Recovery Plan, dan perubahan susunan pengurus."
"17 Des 2025
					11:16:20",Penyampaian Bukti Iklan Hasil RUPS [],BBNI,"BBNI menyampaikan bukti iklan ringkasan risalah RUPS Luar Biasa di website Perseroan, BEI, dan KSEI."
"19 Des 2025
					13:42:10",Perubahan Komite Audit [],BBNI,"BBNI menyampaikan perubahan susunan keanggotaan Komite Audit, dengan pergantian dua anggota pihak independen, sedangkan ketua dan anggota lainnya tetap."
"10 Des 2025
					18:39:36",Perubahan Struktur Pemegang Saham [],BBRI,"Laporan perubahan struktur pemegang saham BBRI  menunjukkan penurunan jumlah pemegang saham sebanyak 10.067 (dari 669.621 menjadi 659.554) dengan free float 46,58%."
"17 Des 2025
					08:51:06",Jadwal Dividen Tunai Interim [],BBRI,BBNI mengumumkan rencana dividen tunai interim tahun buku sebesar Rp137 per saham.
"18 Des 2025
					17:48:37",Penyampaian Bukti Iklan Jadwal Pembagian dividen interim [],BBRI,BBNI menyampaikan bukti iklan jadwal pembagian dividen interim di website Perseroan dan BEI.
"18 Des 2025
					18:19:46",Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],BBRI,"BBNI menyelenggarakan RUPS Luar Biasa yang menyetujui perubahan Anggaran Dasar, pelimpahan wewenang RKAP, dan perubahan susunan Direksi serta Dewan Komisaris."
"19 Des 2025
					10:33:31",Penyampaian Bukti Iklan Hasil RUPS [],BBRI,"BBNI menyampaikan bukti iklan ringkasan risalah RUPS Luar Biasa di website Perseroan, BEI, dan KSEI."
"01 Des 2025
					19:06:42",Penyampaian Bukti Iklan Panggilan RUPS [],BBTN,"BBTN menyampaikan bukti iklan panggilan RUPS yang dimuat di website KSEI, IDX, dan Perseroan."
"05 Des 2025
					21:33:16",Penyampaian Bukti Iklan Perubahan dan/atau Tambahan Informasi Prospektus Ringkas atas Rencana Penerbitan Penawaran Umum Berkelanjutan Obligasi Berwawasan Sosial Berkelanjutan I Bank BTN Tahap I dan Obligasi Subordinasi Berkelanjutan I Bank BTN Tahap I [],BBTN,"BBTN menyampaikan bukti iklan perubahan dan/atau tambahan informasi prospektus ringkas terkait rencana penerbitan obligasi berwawasan sosial berkelanjutan dan obligasi subordinasi berkelanjutan tahap I, dimuat di Media Indonesia."
"09 Des 2025
					20:24:14",Laporan Bulanan Registrasi Pemegang Efek [],BBTN,"Laporan Bulanan Registrasi Pemegang Efek BBTN menunjukkan penurunan pemegang saham sebanyak 1.181 pemegang (dari 66.188 menjadi 65.007) dengan free float 40,26%."
"15 Des 2025
					16:46:36",Pengumuman Bursa Pencatatan Awal Obligasi dan Sukuk [],BBTN,BEI mengumumkan pencatatan awal obligasi berwawasan sosial berkelanjutan I tahap I dan obligasi subordinasi berkelanjutan I tahap I 
"16 Des 2025
					22:25:33",Perubahan Jadwal Rapat Umum Pemegang Saham Luar Biasa [],BBTN,"BBTN menyampaikan perubahan jadwal RUPS Luar Biasa dengan agenda perubahan Anggaran Dasar, pendelegasian kewenangan RKAP, dan perubahan susunan pengurus."
"18 Des 2025
					16:21:00",Penyampaian Bukti Iklan Pemanggilan Ulang RUPS Luar Biasa [],BBTN,"BBTN menyampaikan bukti publikasi pemanggilan ulang RUPS Luar Biasa melalui website BEI, website Perseroan, dan situs e-RUPS KSEI."
"23 Des 2025
					19:58:21",Penyelesaian Pemisahan Unit Usaha Syariah (UUS) Perseroan. [],BBTN,BBTN menyampaikan bukti iklan pemanggilan ulang RUPS Luar Biasa yang dimuat di website IDX
"24 Des 2025
					17:42:26",Transaksi Afiliasi [],BBTN,"BBTN melaporkan transaksi afiliasi berupa pinjaman pemegang saham senilai Rp2.000.000.000.000, dengan pihak BBTN dan PT Danantara Asset Management (Persero)"
"01 Des 2025
					15:02:18",Penyampaian Bukti Iklan Panggilan RUPS [],BMRI,"BMRI menyampaikan bukti iklan panggilan RUPS yang dimuat di website Bank Mandiri, BEI, dan KSEI."
"02 Des 2025
					12:03:15",Perubahan Corporate Secretary [],BMRI,BMRI menyampaikan laporan perubahan Sekretaris Perusahaan kepada OJK: pemberhentian pejabat lama dan pengangkatan pejabat baru.
"02 Des 2025
					18:56:47",Penetapan Efektif Pengangkatan Direktur Utama dan Wakil Direktur Utama Perseroan [],BMRI,BMRI menyampaikan penetapan efektif pengangkatan Direktur Utama dan Wakil Direktur Utama setelah memperoleh persetujuan OJK atas Penilaian Kemampuan dan Kepatutan.
"09 Des 2025
					19:29:31",Laporan Bulanan Registrasi Pemegang Efek [],BMRI,"Laporan Bulanan Registrasi Pemegang Efek BMRI menunjukkan penurunan pemegang saham sebanyak 30.914 (dari 310.856 menjadi 279.942) dengan free float 37,36%."
"19 Des 2025
					08:10:53",Pembagian dividen interim [],BMRI,"BMRI mengumumkan pembagian dividen interim sebesar Rp100 per saham atau sekitar Rp9,3 triliun, tanpa dampak material terhadap operasional, hukum, kondisi keuangan, maupun kelangsungan usaha."
"19 Des 2025
					19:44:39",Pengumuman Bursa Pencatatan Awal Obligasi dan Sukuk [],BMRI,"BEI mengumumkan pencatatan awal Obligasi Keberlanjutan Berkelanjutan I Bank Mandiri Tahap I, terdiri dari tiga seri dengan rating idAAA, tanpa agunan khusus, dan dapat dibeli kembali setelah satu tahun."
"19 Des 2025
					22:38:21",Penyampaian Laporan Keuangan Interim (KOREKSI) [],BMRI,"BMRI menyampaikan laporan keuangan interim dengan laba bersih yang dapat diatribusikan ke entitas induk sekitar Rp37,73 triliun dan total liabilitas sekitar Rp1.977,95 triliun."
"19 Des 2025
					23:04:09",Penetapan Efektif Pengurus Perseroan [],BMRI,BMRI menyampaikan penetapan efektif pengangkatan anggota Dewan Komisaris dan Direktur Information Technology setelah memperoleh persetujuan OJK atas Penilaian Kemampuan dan Kepatutan.
"19 Des 2025
					23:10:25",Perubahan anggota Direksi dan/atau anggota Dewan Komisaris [],BMRI,"BMRI menyampaikan perubahan anggota Dewan Komisaris melalui pemberhentian, pengalihan jabatan, dan pengangkatan anggota baru, yang akan efektif setelah memperoleh persetujuan OJK atas Fit and Proper Test."
"22 Des 2025
					08:31:52",Jadwal Dividen Tunai Interim [],BMRI,BMRI mengumumkan jadwal dividen tunai interim Rp100 per saham
"22 Des 2025
					10:21:42",Jadwal Dividen Tunai Interim (KOREKSI) [],BMRI,"BMRI menyampaikan koreksi atas pengumuman jadwal dividen tunai interim sebelumnya, dengan tetap mengacu pada keputusan Direksi yang disetujui Dewan Komisaris."
"23 Des 2025
					10:42:16",Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],BMRI,"RUPS Luar Biasa menyetujui perubahan Anggaran Dasar, pelimpahan kewenangan kepada Dewan Komisaris untuk menyetujui RKAP, serta perubahan susunan Dewan Komisaris melalui pemberhentian, pengalihan tugas, dan pengangkatan anggota baru."
"23 Des 2025
					17:02:57",Penyampaian Bukti Iklan Jadwal Pembagian dividen interim [],BMRI,"BMRI menyampaikan bukti iklan jadwal pembagian dividen interim yang dimuat di website Perseroan, BEI, dan KSEI."
"24 Des 2025
					11:47:52",Penyampaian Bukti Iklan Hasil RUPS [],BMRI,"BMRI menyampaikan bukti publikasi Ringkasan Risalah RUPS Luar Biasa yang dimuat di situs web Perseroan, situs web BEI, dan situs web KSEI."
"01 Des 2025
					19:23:53",Penyampaian Bukti Iklan Panggilan RUPS [],BRIS,"BRIS menyampaikan bukti iklan panggilan RUPS yang dimuat di website BEI, BSI, dan KSEI."
"09 Des 2025
					18:48:55",Laporan Bulanan Registrasi Pemegang Efek [],BRIS,"Laporan Bulanan Registrasi Pemegang Efek BRIS menunjukkan kenaikan pemegang saham sebanyak 8.132 (dari 123.226 menjadi 131.358) dengan free float 9,25%."
"12 Des 2025
					19:06:03",Laporan Informasi Efektif Pengangkatan Anggota Dewan Komisaris Dan Anggota Direksi Perseroan [],BRIS,BRIS menyampaikan laporan efektif pengangkatan anggota Dewan Komisaris dan Direksi
"17 Des 2025
					18:14:17",Penjelasan atas Permintaan Penjelasan Bursa [],BRIS,"BRIS menyampaikan tanggapan atas permintaan penjelasan BEI terkait pemberitaan media, menjelaskan bahwa PT THL terkategori sebagai pihak berelasi karena adanya pengendalian oleh pihak yang sama, tidak memiliki fasilitas pembiayaan di Perseroan, dan menegaskan tidak ada informasi/fakta material yang belum diungkapkan kepada publik."
"24 Des 2025
					17:47:55",Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],BRIS,RUPS Luar Biasa BRIS menyetujui perubahan Anggaran Dasar dan pendelegasian kewenangan persetujuan RKAP
"29 Des 2025
					12:17:20",Penyampaian Bukti Iklan Hasil RUPS [],BRIS,"BRIS menyampaikan bukti iklan ringkasan risalah RUPS Luar Biasa yang dimuat di website BSI, BEI, dan KSEI."
"05 Des 2025
					19:24:57",Jatuh Tempo Obligasi / Sukuk Korporasi [],BRPT,BEI mengumumkan jatuh tempo Obligasi Berkelanjutan I Barito Pacific Tahap III milik BRPT
"09 Des 2025
					16:35:11",Laporan Bulanan Registrasi Pemegang Efek [],BRPT,"Laporan Bulanan Registrasi Pemegang Efek BRPT menunjukkan kenaikan pemegang saham sebanyak 16.022 (dari 90.310 menjadi 106.332) dengan free float 27,2%."
"05 Des 2025
					10:02:57",Laporan Bulanan Registrasi Pemegang Efek [],CPIN,"Laporan bulanan terakhir menunjukkan kenaikan jumlah pemegang saham sebanyak 3.934 (dari 13.662 menjadi 17.596) dengan free float 34,14%."
"10 Des 2025
					16:09:46",Penjelasan atas Permintaan Penjelasan Bursa [],CPIN,"CPIN menyampaikan tanggapan atas permintaan penjelasan BEI terkait bencana banjir dan tanah longsor, menjelaskan dampak terbatas pada akses jalan dan kematian 0,6% ayam pembibit, operasional sudah normal kembali, dan tidak ada dampak material terhadap keuangan dan hukum."
"10 Des 2025
					13:32:27",Laporan Bulanan Registrasi Pemegang Efek [],CTRA,"Laporan bulanan terakhir menunjukkan kenaikan jumlah pemegang saham sebanyak 1.015 (dari 36.534 menjadi 37.549) dengan free float 42,84%."
"01 Des 2025
					16:46:18",Informasi Kupon [],EXCL,"Perseroan mengumumkan pembayaran kupon untuk obligasi berkelanjutan, dengan tambahan cicilan bunga 0,34% per tahun secara pro rata terkait penurunan peringkat dari Fitch Ratings Indonesia."
"01 Des 2025
					16:47:26",Informasi Ijarah Fee [],EXCL,"Perseroan mengumumkan pembayaran ijarah fee untuk sukuk ijarah berkelanjutan, dengan tambahan cicilan 0,34% per tahun secara pro rata terkait penurunan peringkat dari Fitch Ratings Indonesia."
"05 Des 2025
					08:37:22",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],EXCL,"Perseroan melaporkan penjualan saham oleh PT Mora Telematika Indonesia Tbk sebanyak 4.331.835.710 saham (18,32%) dengan tujuan divestasi, sehingga kepemilikannya menjadi 0%."
"09 Des 2025
					17:55:33",Laporan Bulanan Registrasi Pemegang Efek [],EXCL,Laporan bulanan terakhir menunjukkan penurunan jumlah pemegang saham sebanyak 370 (dari 222.979 menjadi 222.609) dengan free float 30%.
"11 Des 2025
					22:40:55",LAPORAN KEPEMILIKAN ATAU SETIAP PERUBAHAN KEPEMILIKAN SAHAM PERUSAHAAN TERBUKA [],EXCL,"Anggota Direksi melaporkan pembelian saham dalam beberapa transaksi terakhir, sehingga kepemilikan meningkat dari 1.519.700 menjadi 1.669.700 saham."
"16 Des 2025
					15:18:35",LAPORAN KEPEMILIKAN ATAU SETIAP PERUBAHAN KEPEMILIKAN SAHAM PERUSAHAAN TERBUKA [],EXCL,"Anggota Direksi melaporkan pembelian saham tambahan, sehingga kepemilikan meningkat dari 1.669.700 menjadi 1.749.700 saham."
"17 Des 2025
					21:02:19",Penjelasan atas Volatilitas Transaksi [],EXCL,"Perseroan menyatakan tidak mengetahui adanya informasi atau fakta material yang dapat mempengaruhi nilai efek, tidak ada aktivitas pemegang saham tertentu, dan tidak ada rencana korporasi dalam waktu dekat."
"22 Des 2025
					14:43:16",LAPORAN KEPEMILIKAN ATAU SETIAP PERUBAHAN KEPEMILIKAN SAHAM PERUSAHAAN TERBUKA [],EXCL,"EXCL melaporkan pembelian saham oleh anggota Direksi, meningkatkan kepemilikan dari 1.519.700 menjadi 1.669.700 saham."
"23 Des 2025
					10:27:58",LAPORAN KEPEMILIKAN ATAU SETIAP PERUBAHAN KEPEMILIKAN SAHAM PERUSAHAAN TERBUKA [],EXCL,"EXCL melaporkan pembelian saham tambahan oleh anggota Direksi, meningkatkan kepemilikan dari 1.839.700 menjadi 1.869.700 saham."
"01 Des 2025
					21:32:04",Penjelasan atas Pemberitaan Media Massa [],GOTO,"GOTO menyampaikan klarifikasi atas pemberitaan media terkait gugatan mantan karyawan dan potensi merger, menyatakan tidak ada informasi material lain yang belum diungkapkan."
"08 Des 2025
					16:26:36",Laporan Bulanan Registrasi Pemegang Efek [],GOTO,"GOTO melaporkan penurunan jumlah pemegang saham sebanyak 1.853 (dari 352.959 menjadi 351.106) dengan free float 76,92%."
"17 Des 2025
					20:02:12",Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],GOTO,"GOTO menyelenggarakan RUPS Luar Biasa yang menyetujui pengunduran diri dan pengangkatan anggota Dewan Komisaris dan Direksi, dengan susunan baru, dan tidak berdampak material terhadap kelangsungan usaha."
"17 Des 2025
					20:22:43",Perubahan anggota Direksi dan/atau anggota Dewan Komisaris [],GOTO,"GOTO melaporkan perubahan susunan Dewan Komisaris dan Direksi setelah RUPS Luar Biasa, termasuk pengunduran diri dan pengangkatan, yang tidak berdampak merugikan terhadap operasional, hukum, keuangan, atau kelangsungan usaha."
"18 Des 2025
					17:40:32",Penyampaian Bukti Iklan Hasil RUPS [],GOTO,"GOTO menyampaikan bukti iklan ringkasan risalah RUPS Luar Biasa yang dimuat di situs web Perseroan, BEI, dan KSEI."
"30 Des 2025
					16:35:26",Perubahan Komite Nominasi dan Remunerasi Emiten atau Perusahaan Publik [],GOTO,GOTO melaporkan perubahan Komite Nominasi dan Remunerasi dengan pengangkatan anggota baru untuk periode yang berlaku.
"10 Des 2025
					16:44:57",Laporan Bulanan Registrasi Pemegang Efek [],ICBP,"ICBP melaporkan kenaikan jumlah pemegang saham sebanyak 5.626 (dari 47.968 menjadi 53.594) dengan free float 19,47%."
"03 Des 2025
					11:03:44",Laporan Bulanan Registrasi Pemegang Efek [],INCO,"INCO melaporkan kenaikan jumlah pemegang saham sebanyak 3.194 (dari 32.525 menjadi 35.719) dengan free float 20,4%."
"15 Des 2025
					21:50:25",Perubahan Komite Audit [],INCO,INCO melaporkan perubahan susunan Komite Audit dengan penambahan anggota baru pada periode terkini.
"22 Des 2025
					14:00:57",Saham Hilang [],INCO,BEI mengumumkan saham hilang INCO.
"29 Des 2025
					12:41:08",Penjelasan atas Volatilitas Transaksi [],INCO,"INCO menyampaikan penjelasan atas volatilitas transaksi efek, menyatakan tidak mengetahui adanya informasi material, tidak ada aktivitas pemegang saham tertentu, tidak ada rencana korporasi dalam waktu dekat, dan pemegang saham utama tidak berencana mengubah kepemilikan."
"10 Des 2025
					16:11:49",Laporan Bulanan Registrasi Pemegang Efek [],INDF,"Laporan registrasi pemegang efek periode terakhir menunjukkan kenaikan jumlah pemegang saham sebanyak 1.948 dengan free float 48,24%."
"05 Des 2025
					13:47:13",Laporan Bulanan Registrasi Pemegang Efek [],INKP,"Laporan registrasi pemegang efek periode terakhir menunjukkan penurunan jumlah pemegang saham sebanyak 850 dengan free float naik dari 38,29% menjadi 40,5%."
"10 Des 2025
					10:37:00",LAPORAN KEPEMILIKAN ATAU SETIAP PERUBAHAN KEPEMILIKAN SAHAM PERUSAHAAN TERBUKA [],INKP,"Pemegang saham pengendali melaporkan pembelian 46.666.600 saham, meningkatkan kepemilikan dari 57,46% menjadi 58,31%, dan tetap menjadi pengendali."
"11 Des 2025
					01:26:50",Jatuh Tempo Obligasi / Sukuk Korporasi [],INKP,BEI mengumumkan jatuh tempo obligasi INKP seri C sehingga efek tersebut tidak lagi tercatat dan tidak dapat diperdagangkan di BEI.
"11 Des 2025
					11:28:54",Penyampaian Laporan Keuangan Interim Auditan [],INKP,"Laporan keuangan interim periode sembilan bulan terakhir menunjukkan pendapatan 2.363.061, laba 325.915, total aset 12.486.243, dan total ekuitas 6.717.802 (dalam ribuan USD)."
"12 Des 2025
					13:35:16",Pelunasan Obligasi  [],INKP,INKP melunasi pokok obligasi seri C sebesar Rp582.715.000.000 melalui KSEI pada periode pelunasan.
"12 Des 2025
					19:53:21",Jatuh Tempo Obligasi / Sukuk Korporasi [],INKP,BEI mengumumkan jatuh tempo obligasi dan sukuk INKP sehingga efek tersebut tidak lagi tercatat dan tidak dapat diperdagangkan di BEI.
"16 Des 2025
					08:52:53",Pelunasan Obligasi dan Sukuk Mudharabah  [],INKP,INKP melunasi pokok obligasi berkelanjutan tahap terkait sebesar Rp1.119.770.000.000 dan sukuk mudharabah sebesar Rp646.020.000.000.
"16 Des 2025
					10:27:16",Laporan Hasil Pemeringkatan Pemeringkatan Tahunan [],INKP,INKP menyampaikan hasil pemeringkatan tahunan dari lembaga pemeringkat dengan rating irAA stable untuk seri obligasi USD.
"16 Des 2025
					19:45:59",Jatuh Tempo Obligasi / Sukuk Korporasi [],INKP,Bursa mengumumkan jatuh tempo obligasi dan sukuk mudharabah INKP sehingga efek tidak lagi tercatat dan tidak dapat diperdagangkan.
"17 Des 2025
					09:38:55",Pelunasan Obligasi dan Sukuk Mudharabah  [],INKP,INKP melunasi pokok obligasi berkelanjutan tahap terkait sebesar Rp624.515.000.000 dan sukuk mudharabah sebesar Rp127.310.000.000.
"17 Des 2025
					15:11:37",Laporan Hasil Pemeringkatan Pemeringkatan Tahunan [],INKP,"INKP menyampaikan hasil pemeringkatan tahunan dari lembaga pemeringkat dengan rating Single A Plus/Single A Plus Syariah, outlook stable."
"24 Des 2025
					11:21:46",Transaksi Afiliasi [],INKP,INKP melaporkan transaksi afiliasi berupa addendum perjanjian sewa menyewa senilai Rp3.606.490.000.
"05 Des 2025
					20:32:11",Jatuh Tempo Obligasi / Sukuk Korporasi [],ISAT,Bursa mengumumkan jatuh tempo obligasi dan sukuk ijarah ISAT sehingga efek tidak lagi tercatat dan tidak dapat diperdagangkan.
"10 Des 2025
					16:04:31",Laporan Bulanan Registrasi Pemegang Efek [],ISAT,"Laporan registrasi pemegang efek periode terakhir menunjukkan penurunan jumlah pemegang saham sebanyak 2.943 (dari 19.623 menjadi 16.680) dengan free float 16,33%."
"23 Des 2025
					11:32:46","Penandatanganan Perjanjian Investasi antara PT Indosat Tbk (Perseroan), PT Aplikanusa Lintasarta (Lintasarta), PT Ainfrastruktur Indonesia Raya (Investor secara bersama-sama dengan Perseroan dan Lintasarta selanjutnya disebut sebagai Para Pihak) (Perjanjian Investasi). []",ISAT,"ISAT menandatangani perjanjian investasi untuk kerangka transaksi infrastruktur dark fiber; tidak berdampak signifikan terhadap operasional, hukum, maupun kelangsungan usaha."
"08 Des 2025
					20:36:05",Laporan Bulanan Registrasi Pemegang Efek [],ITMG,"Laporan registrasi pemegang efek periode terakhir menunjukkan kenaikan jumlah pemegang saham sebanyak 1.212 (dari 56.344 menjadi 57.556) dengan free float 34,74%; pemegang saham pengendali tercatat 65,143%."
