text-small,f-m-20,f-m-20 2,
"08 Sep 2025
					15:04:00",Laporan Bulanan Registrasi Pemegang Efek [],AMRT,"AMRT melaporkan registrasi pemegang efek bulanan dengan total saham 41.524.501.700, free float 42,5%, dan jumlah pemegang saham 21.241 kepemilikan pengendali 50,19%."
"08 Sep 2025
					18:17:06",Penyampaian Materi Public Expose - Tahunan [],ANTM,ANTM menyampaikan materi public expose tahunan sebagai lampiran.
"09 Sep 2025
					14:41:10",Penyampaian Materi Public Expose - Tahunan (KOREKSI) [],ANTM,ANTM menyampaikan koreksi atas penyampaian materi public expose tahunan.
"09 Sep 2025
					14:56:37",Laporan Bulanan Registrasi Pemegang Efek [],ANTM,"ANTM melaporkan registrasi pemegang efek bulanan dengan total saham 24.030.764.725, free float 34,84%, dan jumlah pemegang saham 204.296."
"11 Sep 2025
					18:41:49",Public Expose Live : ANTAM Catat Lonjakan Laba Semester I Tahun Ini[],ANTM,ANTM menyampaikan rilis public expose live yang mencatat lonjakan laba pada periode tertentu.
"16 Sep 2025
					19:01:44",Laporan Hasil Public Expose - Tahunan [],ANTM,ANTM melaporkan hasil public expose tahunan dengan 204 peserta di luar manajemen dan karyawan.
"22 Sep 2025
					18:26:58","ANTAM Raih Sejumlah Penghargaan ENSIA, Bukti Konsistensi Penerapan ESG []",ANTM,ANTM menyampaikan rilis perolehan penghargaan ENSIA sebagai bukti konsistensi penerapan ESG.
"30 Sep 2025
					15:21:19",ANTAM Raih Dua Penghargaan di Stellar Workplace Award [],ANTM,ANTM menyampaikan rilis perolehan dua penghargaan di Stellar Workplace Award.
"30 Sep 2025
					15:27:41",Komitmen ESG ANTAM dalam Peringatan Hari Sungai Sedunia melalui Program Kolaborasi Urban Farming dan Giat Bersih [],ANTM,ANTM menyampaikan rilis komitmen ESG dalam peringatan Hari Sungai Sedunia melalui program kolaborasi urban farming dan giat bersih.
"08 Sep 2025
					17:24:55",Penyampaian Materi Public Expose - Tahunan [],ARTO,"ARTO menyampaikan materi public expose tahunan sebagai lampiran, tanpa merinci dampak material terhadap operasional, hukum, kondisi keuangan, atau kelangsungan usaha."
"09 Sep 2025
					11:11:44",Laporan Bulanan Registrasi Pemegang Efek [],ARTO,"ARTO melaporkan registrasi pemegang efek bulanan dengan total saham 13.861.330.900, free float 26,93%, dan jumlah pemegang saham 34.954."
"12 Sep 2025
					17:34:46",Informasi atau Fakta Material lainnya. [],ARTO,"ARTO menyampaikan siaran pers mengenai pertumbuhan konsisten dan menyatakan tidak ada kejadian, informasi, atau fakta material yang berdampak pada operasional, hukum, kondisi keuangan, atau kelangsungan usaha."
"17 Sep 2025
					07:57:09",Laporan Hasil Public Expose - Tahunan [],ARTO,ARTO menyampaikan hasil public expose tahunan yang dihadiri 125 peserta di luar manajemen dan karyawan.
"02 Sep 2025
					09:34:06",Laporan Hasil Public Expose - Tahunan [],ASII,ASII menyampaikan hasil public expose tahunan yang dihadiri 118 peserta di luar manajemen dan karyawan.
"09 Sep 2025
					16:50:47",Laporan Bulanan Registrasi Pemegang Efek [],ASII,"ASII melaporkan registrasi pemegang efek bulanan dengan total saham 40.483.553.140, free float 44,97%, dan jumlah pemegang saham 123.066."
"16 Sep 2025
					16:30:38",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],ASII,"ASII melaporkan keterbukaan informasi pemegang saham tertentu terkait pembelian saham pada perusahaan terbuka lain di sektor kesehatan, dengan total setelah transaksi 3.073.190.000 saham atau 20% secara tidak langsung untuk tujuan investasi."
"02 Sep 2025
					16:22:13",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BBCA,"BBCA melaporkan keterbukaan informasi pemegang saham tertentu terkait pembelian 62.500 saham oleh seorang komisaris pada harga 7.975, dengan kepemilikan sebelum dan sesudah transaksi tetap 0,03% secara langsung."
"08 Sep 2025
					17:16:28",Penyampaian Materi Public Expose - Tahunan [],BBCA,"BBCA menyampaikan materi public expose tahunan sebagai lampiran, tanpa merinci dampak material terhadap operasional, hukum, kondisi keuangan, atau kelangsungan usaha."
"09 Sep 2025
					08:55:59",Laporan Bulanan Registrasi Pemegang Efek [],BBCA,"BBCA melaporkan laporan bulanan registrasi pemegang efek dengan total saham 123.275.050.000, free float 42,89%, dan jumlah pemegang saham 522.914."
"10 Sep 2025
					16:33:27",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BBCA,"BBCA melaporkan keterbukaan informasi pemegang saham tertentu terkait pembelian 66.000 saham oleh seorang komisaris pada harga 7.575, dengan kepemilikan setelah transaksi 34.933.644 saham atau 0,03%."
"12 Sep 2025
					11:03:23",Penjelasan atas Pemberitaan Media Massa [],BBCA,BBCA memberikan penjelasan atas pemberitaan media terkait dugaan pembobolan rekening dana nasabah sekuritas dan investigasi otoritas.
"16 Sep 2025
					18:26:15",Laporan Hasil Public Expose - Tahunan [],BBCA,BBCA menyampaikan hasil public expose tahunan yang dihadiri 190 peserta di luar manajemen dan karyawan.
"02 Sep 2025
					17:41:18",Penyampaian Materi Public Expose - Tahunan [],BBNI,BBNI menyampaikan materi public expose tahunan sebagai lampiran.
"04 Sep 2025
					15:15:20",Perubahan Komite Audit [],BBNI,"BBNI mengumumkan perubahan komite audit efektif pada tanggal tertentu, dengan pergantian beberapa anggota."
"08 Sep 2025
					16:16:14",Perubahan Internal Audit [],BBNI,BBNI mengumumkan perubahan internal audit dengan pergantian ketua unit audit.
"09 Sep 2025
					17:00:29",Laporan Bulanan Registrasi Pemegang Efek [],BBNI,"BBNI melaporkan registrasi pemegang efek bulanan dengan total saham 37.297.312.916, free float 39,44%, dan jumlah pemegang saham 176.222."
"11 Sep 2025
					15:58:10",Laporan Hasil Public Expose - Tahunan [],BBNI,BBNI menyampaikan hasil public expose tahunan yang dihadiri 138 peserta di luar manajemen dan karyawan.
"01 Sep 2025
					16:09:36",Perubahan Corporate Secretary [],BBRI,BBRI mengumumkan perubahan corporate secretary efektif pada tanggal tertentu.
"10 Sep 2025
					14:37:52",Laporan Bulanan Registrasi Pemegang Efek [],BBRI,"BBRI menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 151.559.001.604, free float 46,62%, dan jumlah pemegang saham 631.385."
"25 Sep 2025
					15:38:53",Laporan Kesiapan Dana Pelunasan Obligasi Berwawasan Lingkungan Berkelanjutan I Bank BRI Tahap II Seri B [],BBRI,"BBRI menyatakan telah menyediakan dana pelunasan obligasi berwawasan lingkungan seri tertentu sebesar Rp4.154.350.000.000, dan pelunasan tersebut tidak berdampak material negatif terhadap likuiditas maupun kelangsungan usaha."
"01 Sep 2025
					23:29:10",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BBTN,BBTN menyampaikan bukti iklan informasi laporan keuangan interim yang dimuat di media cetak dan website perusahaan.
"01 Sep 2025
					23:30:03",Penyampaian Laporan Keuangan Interim Auditan [],BBTN,"BBTN menyampaikan laporan keuangan interim auditan periode enam bulan dengan total aset Rp484.807.261 juta, total liabilitas Rp419.012.145 juta, total ekuitas Rp33.926.016 juta, dan laba entitas induk Rp1.706.389 juta."
"02 Sep 2025
					18:34:27",Penyampaian Laporan Keuangan Interim (KOREKSI) [],BBTN,"BBTN menyampaikan laporan keuangan interim periode enam bulan beserta informasi anak perusahaan total aset Rp484.807.261 juta, ekuitas Rp33.926.016 juta, dan laba entitas induk Rp1.706.389 juta."
"02 Sep 2025
					18:41:25",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim (KOREKSI) [],BBTN,BBTN menyampaikan koreksi bukti iklan informasi laporan keuangan interim yang dimuat di media cetak dan website perusahaan.
"04 Sep 2025
					14:24:31",Penyampaian Materi Public Expose - Tahunan [],BBTN,BBTN menyampaikan materi public expose tahunan sebagai lampiran. Tidak disebutkan dampak material.
"08 Sep 2025
					21:52:39",Laporan Bulanan Registrasi Pemegang Efek [],BBTN,"BBTN menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 14.034.444.413, free float 40,26%, dan jumlah pemegang saham 56.614."
"08 Sep 2025
					21:54:11",Penyampaian Materi Public Expose - Tahunan (KOREKSI) [],BBTN,"BBTN menyampaikan koreksi atas penyampaian materi public expose tahunan, merujuk pada rencana public expose yang telah disampaikan sebelumnya. Tidak disebutkan dampak material terhadap operasional, hukum, kondisi keuangan, atau kelangsungan usaha."
"15 Sep 2025
					21:59:02",Laporan Hasil Public Expose - Tahunan [],BBTN,BBTN menyampaikan hasil public expose tahunan yang dihadiri 446 peserta di luar manajemen dan karyawan.
"16 Sep 2025
					21:45:26",Penjelasan atas Volatilitas Transaksi [],BBTN,"BBTN menjelaskan tidak mengetahui informasi/fakta material terkait volatilitas transaksi selain yang telah diungkapkan, serta tidak ada aktivitas pemegang saham tertentu pada periode tertentu. Rencana korporasi jangka pendek terkait pemisahan unit usaha syariah tetap berlanjut."
"25 Sep 2025
					22:16:31",Pengumuman Ringkasan Rancangan Pemisahan Unit Usaha Syariah PT Bank Tabungan Negara (Persero) Tbk dengan Cara Pengalihan Hak dan Kewajiban Kepada PT Bank Syariah Nasional [],BBTN,BBTN mengumumkan ringkasan rencana pemisahan unit usaha syariah dengan cara pengalihan hak dan kewajiban kepada entitas syariah tertentu.
"25 Sep 2025
					22:17:34",Penyampaian Bukti Iklan Pengumuman Ringkasan Rancangan Pemisahan Unit Usaha Syariah PT Bank Tabungan Negara (Persero) Tbk  dengan Cara Pengalihan Hak dan Kewajiban Kepada PT Bank Syariah Nasional [],BBTN,BBTN menyampaikan bukti iklan pengumuman ringkasan rencana pemisahan unit usaha syariah di website perusahaan dan media cetak.
"02 Sep 2025
					16:48:18",Perubahan Komite Audit [],BMRI,"BMRI mengumumkan perubahan komite audit dengan pergantian ketua dan anggota, efektif pada tanggal tertentu, dan pengangkatan salah satu anggota efektif setelah persetujuan regulator."
"10 Sep 2025
					16:37:32",Laporan Bulanan Registrasi Pemegang Efek [],BMRI,"BMRI menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 93.333.333.331, free float 38,33%, dan jumlah pemegang saham 271.963."
"19 Sep 2025
					16:33:03",Penyampaian Laporan Keuangan Interim Auditan [],BMRI,"BMRI menyampaikan laporan keuangan interim enam bulan dengan total liabilitas Rp1.970.473.443 juta, total ekuitas Rp33.926.016 juta, dan laba entitas induk Rp24.455.082 juta."
"19 Sep 2025
					19:29:52",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BMRI,BMRI menyampaikan bukti iklan informasi laporan keuangan interim yang dimuat di media cetak.
"19 Sep 2025
					21:22:02",Penyampaian Press Release Pemaparan Kinerja Perseroan [],BMRI,BMRI menyampaikan press release pemaparan kinerja perseroan.
"01 Sep 2025
					17:12:25",Perubahan Internal Audit [],BRIS,"BRIS mengumumkan perubahan internal audit dengan pergantian ketua unit audit, efektif pada tanggal tertentu, tanpa dampak material terhadap operasional, hukum, kondisi keuangan, atau kelangsungan usaha."
"01 Sep 2025
					17:42:18",Laporan Informasi Efektif Pengangkatan Komisaris Utama dan Direktur Utama Perseroan [],BRIS,"BRIS melaporkan efektifnya pengangkatan komisaris utama dan direktur utama setelah memperoleh persetujuan regulator, dan menyatakan tidak ada dampak material terhadap kelangsungan usaha."
"10 Sep 2025
					16:52:42",Laporan Bulanan Registrasi Pemegang Efek [],BRIS,"BRIS menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 46.129.260.138, free float 9,25%, dan jumlah pemegang saham 119.805."
"19 Sep 2025
					14:36:11",Penyampaian Laporan Keuangan Interim Auditan [],BRIS,"BRIS menyampaikan laporan keuangan interim enam bulan dengan laba Rp3.741.228 juta, total liabilitas Rp99.455.198 juta, dan pendapatan pengelolaan dana sebagai mudharib Rp14.135.331 juta."
"22 Sep 2025
					14:23:18",Penyampaian Bukti Iklan Informasi Laporan Keuangan Interim [],BRIS,BRIS menyampaikan bukti iklan laporan keuangan interim yang dimuat di media cetak serta website perusahaan dan bursa.
"04 Sep 2025
					17:17:41",Laporan Bulanan Registrasi Pemegang Efek [],BRPT,"BRPT menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 93.747.218.044, free float 27,19%, dan jumlah pemegang saham 89.822."
"18 Sep 2025
					18:14:17",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BRPT,"BRPT melaporkan keterbukaan informasi pemegang saham pengendali yang juga komisaris melalui pengalihan 1.523.400 saham, sehingga kepemilikan setelah transaksi menjadi 66.898.030.165 saham atau 71,36%."
"18 Sep 2025
					18:15:09",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BRPT,"BRPT melaporkan pengalihan 1.525.400 saham oleh seorang direksi, dengan kepemilikan setelah transaksi menjadi 2.651.300 saham atau 0,0028%."
"18 Sep 2025
					18:16:30",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BRPT,"BRPT melaporkan keterbukaan informasi pemegang saham tertentu oleh seorang direksi melalui pengalihan 1.024.900 saham, sehingga kepemilikan setelah transaksi menjadi 1.574.100 saham atau 0,00017%."
"18 Sep 2025
					18:16:56",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BRPT,"BRPT melaporkan pengalihan 1.104.200 saham oleh seorang direksi, dengan kepemilikan setelah transaksi menjadi 1.717.806 saham atau 0,0018%, untuk tujuan investasi."
"18 Sep 2025
					18:17:50",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BRPT,"BRPT melaporkan pengalihan 1.188.400 saham oleh seorang direksi, dengan kepemilikan setelah transaksi menjadi 1.773.000 saham atau 0,0019%, untuk tujuan investasi."
"18 Sep 2025
					18:21:19",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BRPT,"BRPT melaporkan pengalihan 928.400 saham oleh seorang komisaris, dengan kepemilikan setelah transaksi menjadi 1.887.426 saham atau 0,002%, untuk tujuan investasi."
"23 Sep 2025
					16:33:05",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],BRPT,"BRPT melaporkan keterbukaan informasi pemegang saham tertentu oleh seorang direksi melalui serangkaian penjualan dan pembelian saham, dengan kepemilikan setelah transaksi menjadi 964.100 saham atau 0,001%."
"23 Sep 2025
					17:08:19",Penjelasan atas Volatilitas Transaksi [],BRPT,"BRPT menjelaskan tidak mengetahui informasi/fakta material tambahan terkait volatilitas transaksi, selain pelaksanaan program insentif saham kepada manajemen/karyawan pada tanggal tertentu yang telah dilaporkan. Perseroan juga menyatakan belum ada rencana tindakan korporasi dalam waktu dekat dan pemegang saham utama belum memiliki rencana terkait kepemilikan sahamnya."
"04 Sep 2025
					14:37:18",Laporan Bulanan Registrasi Pemegang Efek [],CPIN,"CPIN menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 16.398.000.000, free float 34,14%, jumlah pemegang saham 18.087."
"10 Sep 2025
					10:39:42",Laporan Bulanan Registrasi Pemegang Efek [],CTRA,"CTRA menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 18.535.695.255, free float 42,84%, jumlah pemegang saham 30.997."
"01 Sep 2025
					16:28:50",Informasi Kupon [],EXCL,"EXCL mengumumkan pembayaran kupon obligasi untuk beberapa seri dengan tingkat 7,74%, 8,24%, dan 8,59%, serta nilai nominal masing-masing IDR 7.969.394.250, IDR 3.665.049.000, dan IDR 3.758.232.375. Terdapat tambahan bunga 0,34% per tahun secara pro rata akibat penurunan peringkat oleh lembaga pemeringkat."
"01 Sep 2025
					16:32:15",Informasi Ijarah Fee [],EXCL,"EXCL mengumumkan pembayaran ijarah fee sukuk ijarah untuk beberapa seri dengan tingkat 7,74%, 8,24%, dan 8,59%, serta nilai nominal masing-masing IDR 8.152.155.000, IDR 2.783.781.000, dan IDR 5.640.408.750. Terdapat tambahan fee 0,34% per tahun secara pro rata akibat penurunan peringkat oleh lembaga pemeringkat."
"01 Sep 2025
					16:38:37",Pelunasan Pokok dan Bunga Obligasi dan Sukuk Ijarah Berkelanjutan [],EXCL,EXCL melaporkan pelunasan pokok dan bunga obligasi serta sukuk ijarah berkelanjutan seri tertentu dengan total nilai IDR 1.441.241.081.500 pada tanggal tertentu.
"10 Sep 2025
					13:49:17",Laporan Bulanan Registrasi Pemegang Efek [],EXCL,"EXCL menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 18.199.862.385/451, free float 23,88%, jumlah pemegang saham 222.581"
"10 Sep 2025
					19:19:59",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],EXCL,"EXCL melaporkan keterbukaan informasi pemegang saham tertentu oleh seorang direksi terkait penjualan 150.000 saham pada harga 2.580, dengan persentase sebelum 0,0008% dan sesudah 0,0016%."
"10 Sep 2025
					19:20:22",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],EXCL,"EXCL melaporkan keterbukaan informasi pemegang saham tertentu oleh seorang direksi terkait pembelian 1.619.800 saham pada harga 2.580, dengan persentase sebelum 0% dan sesudah 0,0089%. "
"10 Sep 2025
					19:21:40",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka (KOREKSI) [],EXCL,"EXCL mengoreksi keterbukaan informasi pemegang saham tertentu oleh seorang direksi, dari penjualan menjadi pembelian 150.000 saham pada harga 2.580, sehingga kepemilikan setelah transaksi menjadi 300.000 saham atau 0,0016%."
"15 Sep 2025
					20:40:17",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],EXCL,"EXCL melaporkan pembelian saham oleh seorang direksi melalui beberapa transaksi, dengan kepemilikan setelah transaksi menjadi 3.700.100 saham atau 0,0203%."
"15 Sep 2025
					20:41:46",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],EXCL,"EXCL melaporkan pembelian saham oleh seorang direksi melalui dua transaksi, dengan kepemilikan setelah transaksi menjadi 727.600 saham atau 0,004%."
"15 Sep 2025
					20:43:17",Laporan Hasil Pemeringkatan Pemeringkatan Ulang [],EXCL,"EXCL menyampaikan hasil pemeringkatan ulang dari lembaga pemeringkat dengan peringkat AA+ outlook stabil untuk sejumlah obligasi dan sukuk, dengan periode rating hingga tanggal tertentu."
"19 Sep 2025
					17:14:29",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],EXCL,"EXCL melaporkan pembelian saham oleh seorang direksi sebanyak 333.900 saham pada harga 2.580, sehingga kepemilikan setelah transaksi menjadi 4.034.000 saham atau 0,0222%."
"24 Sep 2025
					17:10:04",Kesiapan Dana Menjelang Jatuh Tempo Obligasi dan Sukuk Ijarah Berkelanjutan [],EXCL,EXCL menyatakan telah menyiapkan dana menjelang jatuh tempo obligasi dan sukuk ijarah seri tertentu yang jatuh tempo pada tanggal tertentu.
"26 Sep 2025
					18:03:27",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],EXCL,"EXCL melaporkan pembelian saham oleh seorang direksi melalui beberapa transaksi, dengan kepemilikan setelah transaksi menjadi 1.327.600 saham atau 0,0073%."
"02 Sep 2025
					17:57:57",Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],GOTO,"GOTO melaporkan pelaksanaan opsi saham oleh seorang komisaris melalui program opsi karyawan/konsultan, dengan kepemilikan setelah transaksi menjadi 305.772.185 saham atau 0,01% secara tidak langsung."
"08 Sep 2025
					16:37:16",Laporan Bulanan Registrasi Pemegang Efek [],GOTO,"GOTO menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 1.191.144.997.220, free float 917.705.794.619, dan jumlah pemegang saham 345.599."
"09 Sep 2025
					16:34:32",Penjelasan atas Pemberitaan Media Massa [],GOTO,"GOTO menjelaskan tidak ada dampak material dari pemberitaan terkait penetapan tersangka seorang mantan komisaris/pejabat, dan menegaskan tidak ada pihak manajemen saat ini yang terlibat."
"18 Sep 2025
					16:40:22","Siaran Pers: GoTo Raih Fasilitas Pinjaman Berjangka Senilai Rp4,65 Triliun []",GOTO,"GOTO memperoleh fasilitas pinjaman berjangka baru senilai Rp4,65 triliun dengan tenor empat tahun dari bank, untuk pelunasan pinjaman lama, kebutuhan korporasi, investasi, dan modal kerja."
"10 Sep 2025
					16:50:32",Laporan Bulanan Registrasi Pemegang Efek [],ICBP,"ICBP menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 11.661.908.000, free float 19,47%, jumlah pemegang saham 43.691."
"15 Sep 2025
					22:21:41",Penjelasan atas Pemberitaan Media Massa [],ICBP,ICBP memberikan penjelasan atas pemberitaan media terkait pelarangan konsumsi produk di wilayah tertentu karena temuan pestisida.
"01 Sep 2025
					16:22:03",Penerbitan SKS Pengganti Karena Hilang PT Vale Indonesia Tbk [],INCO,Bursa mengumumkan penerbitan SKS pengganti karena hilang untuk INCO.
"01 Sep 2025
					16:45:15",Pemanggilan Rapat Umum Pemegang Saham Luar Biasa [],INCO,INCO menyampaikan pemanggilan RUPS luar biasa dengan agenda persetujuan perubahan susunan pengurus.
"02 Sep 2025
					09:12:03",Penyampaian Bukti Iklan Panggilan RUPS [],INCO,"INCO menyampaikan bukti iklan pemanggilan RUPS luar biasa di website bursa, website perseroan, dan sistem eASY."
"04 Sep 2025
					14:41:47",Laporan Bulanan Registrasi Pemegang Efek [],INCO,"INCO menyampaikan laporan bulanan registrasi pemegang efek dengan total saham 10.539.784.534, free float 20,4%, jumlah pemegang saham 38.124."
"08 Sep 2025
					12:17:31",Penyampaian Materi Public Expose - Tahunan [],INCO,INCO menyampaikan materi public expose tahunan sebagai lampiran.
"16 Sep 2025
					15:22:59",Laporan Hasil Public Expose - Tahunan [],INCO,INCO menyampaikan hasil public expose tahunan yang dihadiri 126 peserta di luar manajemen dan karyawan.
"23 Sep 2025
					20:36:23",Siaran Pers Rapat Umum Pemegang Saham Luar Biasa  [],INCO,INCO menyampaikan siaran pers terkait RUPS luar biasa dengan agenda perubahan susunan pengurus pada tanggal tertentu.
"23 Sep 2025
					23:06:19",Perubahan Komite Nominasi dan Remunerasi Emiten atau Perusahaan Publik [],INCO,"INCO mengumumkan perubahan susunan komite nominasi dan remunerasi untuk periode tertentu, dengan susunan ketua dan anggota dari komisaris independen serta komisaris."
"25 Sep 2025
					15:13:40",Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],INCO,"INCO melaporkan hasil RUPS luar biasa dengan kuorum 89,7269%, menyetujui perubahan susunan pengurus dan menetapkan susunan direksi untuk periode tertentu."
"25 Sep 2025
					15:51:04",Penyampaian Bukti Iklan Hasil RUPS [],INCO,"INCO menyampaikan bukti iklan hasil RUPS luar biasa pada website bursa, website perseroan, dan sistem tertentu."
"30 Sep 2025
					10:15:09",Perubahan Corporate Secretary [],INCO,"INCO mengumumkan perubahan corporate secretary efektif pada tanggal tertentu, dengan nama baru dan lama sama."
"10 Sep 2025
					16:49:10",Laporan Bulanan Registrasi Pemegang Efek [],INDF,"INDF menyampaikan laporan bulanan registrasi pemegang efek untuk periode tertentu dengan total saham 8.780.426.500, free float 48,21%, jumlah pemegang saham 36.258."
"03 Sep 2025
					14:05:05",Laporan Bulanan Registrasi Pemegang Efek [],INKP,"INKP menyampaikan laporan bulanan registrasi pemegang efek untuk periode tertentu dengan total saham 5.470.982.941, free float 38,29%, jumlah pemegang saham 25.882."
"12 Sep 2025
					20:35:49","Informasi Tambahan Ringkas Penawaran Umum Obligasi Berkelanjutan V Indah Kiat Pulp & Paper Tahap V Tahun 2025, Sukuk Mudharabah Berkelanjutan IV Indah Kiat Pulp & Paper Tahap V Tahun 2025 dan Obligasi USD Berkelanjutan II Indah Kiat Pulp & Paper Tahap IV Tahun 2025 []",INKP,"INKP menyampaikan informasi tambahan ringkas terkait rencana penawaran umum berkelanjutan obligasi, sukuk mudharabah, dan obligasi USD, dengan rincian pada lampiran."
"15 Sep 2025
					17:25:42",Jatuh Tempo Obligasi / Sukuk Korporasi [],INKP,Bursa mengumumkan jatuh tempo obligasi INKP seri tertentu sehingga efek tidak tercatat dan tidak dapat diperdagangkan lagi mulai tanggal tertentu.
"16 Sep 2025
					15:05:18",Informasi Pelunasan Efek [],INKP,"INKP mengumumkan pelunasan pokok obligasi seri tertentu dengan nilai nominal Rp582.715.000.000 dan tingkat bunga 11%, jatuh tempo pada tanggal tertentu."
"17 Sep 2025
					15:41:25",Pelunasan Obligasi  [],INKP,INKP melaporkan pelunasan pokok obligasi seri tertentu sebesar Rp276.550.000.000 melalui lembaga kustodian pada tanggal tertentu.
"22 Sep 2025
					14:38:39",Laporan Penggunaan Dana Hasil Penawaran Umum [],INKP,"INKP melaporkan penggunaan dana hasil penawaran umum dengan rincian hasil realisasi bersih, biaya, dan rencana penggunaan dana."
